search_query,fdc_id,food_name,food_category,data_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,saturated_fat_g,cholesterol_mg,sodium_mg,iron_mg,calcium_mg,potassium_mg,magnesium_mg,vitamin_c_mg,vitamin_b12_ug,text_chunk
"Chicken breast, raw",2646170,"Chicken, breast, boneless, skinless, raw",Poultry Products,Foundation,0.0,22.5,0.0,1.93,0.0,0.0,0.349,72.7,65.8,0.354,3.94,330.0,26.2,0.0,0.0,"Food: Chicken, breast, boneless, skinless, raw

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 22.5 g
        - Carbohydrates: 0.0 g
        - Fat: 1.93 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.349 g
        - Cholesterol: 72.7 mg
        - Sodium: 65.8 mg
        - Iron: 0.354 mg
        - Calcium: 3.94 mg
        - Potassium: 330.0 mg
        - Magnesium: 26.2 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Poultry Products
        Data Source Type: Foundation"
"Chicken thigh, raw",172855,"Chicken, skin (drumsticks and thighs), raw",Poultry Products,SR Legacy,440.0,9.58,0.79,44.2,0.0,0.0,12.1,105.0,51.0,0.37,6.0,119.0,8.0,0.0,0.65,"Food: Chicken, skin (drumsticks and thighs), raw

        Per 100 grams:
        - Calories: 440.0 kcal
        - Protein: 9.58 g
        - Carbohydrates: 0.79 g
        - Fat: 44.2 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 12.1 g
        - Cholesterol: 105.0 mg
        - Sodium: 51.0 mg
        - Iron: 0.37 mg
        - Calcium: 6.0 mg
        - Potassium: 119.0 mg
        - Magnesium: 8.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.65 µg

        Category: Poultry Products
        Data Source Type: SR Legacy"
"Turkey breast, raw",171098,"Turkey, whole, breast, meat only, raw",Poultry Products,SR Legacy,114.0,23.7,0.14,1.48,0.0,0.0,0.289,57.0,113.0,0.73,11.0,242.0,28.0,0.0,0.63,"Food: Turkey, whole, breast, meat only, raw

        Per 100 grams:
        - Calories: 114.0 kcal
        - Protein: 23.7 g
        - Carbohydrates: 0.14 g
        - Fat: 1.48 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.289 g
        - Cholesterol: 57.0 mg
        - Sodium: 113.0 mg
        - Iron: 0.73 mg
        - Calcium: 11.0 mg
        - Potassium: 242.0 mg
        - Magnesium: 28.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.63 µg

        Category: Poultry Products
        Data Source Type: SR Legacy"
"Ground beef, 95% lean, raw",171790,"Beef, ground, 95% lean meat / 5% fat, raw",Beef Products,SR Legacy,137.0,21.4,0.0,5.0,0.0,0.0,2.18,62.0,66.0,2.38,9.0,346.0,22.0,0.0,2.24,"Food: Beef, ground, 95% lean meat / 5% fat, raw

        Per 100 grams:
        - Calories: 137.0 kcal
        - Protein: 21.4 g
        - Carbohydrates: 0.0 g
        - Fat: 5.0 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 2.18 g
        - Cholesterol: 62.0 mg
        - Sodium: 66.0 mg
        - Iron: 2.38 mg
        - Calcium: 9.0 mg
        - Potassium: 346.0 mg
        - Magnesium: 22.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 2.24 µg

        Category: Beef Products
        Data Source Type: SR Legacy"
"Beef, top sirloin, raw",2727574,"Beef, top sirloin steak, raw",Beef Products,Foundation,0.0,22.0,0.218,5.71,0.0,0.0,0.0,60.1,42.8,2.22,3.7,349.0,22.1,0.0,0.0,"Food: Beef, top sirloin steak, raw

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 22.0 g
        - Carbohydrates: 0.218 g
        - Fat: 5.71 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 60.1 mg
        - Sodium: 42.8 mg
        - Iron: 2.22 mg
        - Calcium: 3.7 mg
        - Potassium: 349.0 mg
        - Magnesium: 22.1 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Beef Products
        Data Source Type: Foundation"
"Beef, liver, raw",169451,"Beef, variety meats and by-products, liver, raw",Beef Products,SR Legacy,135.0,20.4,3.89,3.63,0.0,0.0,1.23,275.0,69.0,4.9,5.0,313.0,18.0,1.3,59.3,"Food: Beef, variety meats and by-products, liver, raw

        Per 100 grams:
        - Calories: 135.0 kcal
        - Protein: 20.4 g
        - Carbohydrates: 3.89 g
        - Fat: 3.63 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 1.23 g
        - Cholesterol: 275.0 mg
        - Sodium: 69.0 mg
        - Iron: 4.9 mg
        - Calcium: 5.0 mg
        - Potassium: 313.0 mg
        - Magnesium: 18.0 mg
        - Vitamin C: 1.3 mg
        - Vitamin B12: 59.3 µg

        Category: Beef Products
        Data Source Type: SR Legacy"
"Rabbit, raw",174347,"Game meat, rabbit, wild, raw","Lamb, Veal, and Game Products",SR Legacy,114.0,21.8,0.0,2.32,0.0,0.0,0.69,81.0,50.0,3.2,12.0,378.0,29.0,0.0,0.0,"Food: Game meat, rabbit, wild, raw

        Per 100 grams:
        - Calories: 114.0 kcal
        - Protein: 21.8 g
        - Carbohydrates: 0.0 g
        - Fat: 2.32 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.69 g
        - Cholesterol: 81.0 mg
        - Sodium: 50.0 mg
        - Iron: 3.2 mg
        - Calcium: 12.0 mg
        - Potassium: 378.0 mg
        - Magnesium: 29.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Lamb, Veal, and Game Products
        Data Source Type: SR Legacy"
"Tilapia, raw",175176,"Fish, tilapia, raw",Finfish and Shellfish Products,SR Legacy,96.0,20.1,0.0,1.7,0.0,0.0,0.585,50.0,52.0,0.56,10.0,302.0,27.0,0.0,1.58,"Food: Fish, tilapia, raw

        Per 100 grams:
        - Calories: 96.0 kcal
        - Protein: 20.1 g
        - Carbohydrates: 0.0 g
        - Fat: 1.7 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.585 g
        - Cholesterol: 50.0 mg
        - Sodium: 52.0 mg
        - Iron: 0.56 mg
        - Calcium: 10.0 mg
        - Potassium: 302.0 mg
        - Magnesium: 27.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 1.58 µg

        Category: Finfish and Shellfish Products
        Data Source Type: SR Legacy"
"Salmon, raw",173688,"Fish, salmon, chinook, raw",Finfish and Shellfish Products,SR Legacy,179.0,19.9,0.0,10.4,0.0,0.0,3.1,50.0,47.0,0.25,26.0,394.0,95.0,4.0,1.3,"Food: Fish, salmon, chinook, raw

        Per 100 grams:
        - Calories: 179.0 kcal
        - Protein: 19.9 g
        - Carbohydrates: 0.0 g
        - Fat: 10.4 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 3.1 g
        - Cholesterol: 50.0 mg
        - Sodium: 47.0 mg
        - Iron: 0.25 mg
        - Calcium: 26.0 mg
        - Potassium: 394.0 mg
        - Magnesium: 95.0 mg
        - Vitamin C: 4.0 mg
        - Vitamin B12: 1.3 µg

        Category: Finfish and Shellfish Products
        Data Source Type: SR Legacy"
"Tuna, light, canned in water",334194,"Fish, tuna, light, canned in water, drained solids",Finfish and Shellfish Products,Foundation,90.0,19.0,0.08,0.94,0.0,0.0,0.224,36.0,219.0,1.67,18.0,176.0,22.7,0.0,2.57,"Food: Fish, tuna, light, canned in water, drained solids

        Per 100 grams:
        - Calories: 90.0 kcal
        - Protein: 19.0 g
        - Carbohydrates: 0.08 g
        - Fat: 0.94 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.224 g
        - Cholesterol: 36.0 mg
        - Sodium: 219.0 mg
        - Iron: 1.67 mg
        - Calcium: 18.0 mg
        - Potassium: 176.0 mg
        - Magnesium: 22.7 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 2.57 µg

        Category: Finfish and Shellfish Products
        Data Source Type: Foundation"
