exercise_name,primary_muscles,secondary_muscles,equipment,level,force,category,mechanic,text_chunk,instructions
Ab Roller,abdominals,shoulders,other,intermediate,pull,strength,compound,"Ab Roller is a intermediate level strength exercise targeting the abdominals. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: shoulders. Instructions: Hold the Ab Roller with both hands and kneel on the floor. Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position. Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement. After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times.",
Advanced Kettlebell Windmill,abdominals,"glutes, hamstrings, shoulders",kettlebells,intermediate,push,strength,isolation,"Advanced Kettlebell Windmill is a intermediate level strength exercise targeting the abdominals. It involves a push motion and is considered a isolation movement. Equipment needed: kettlebells. Secondary muscles worked: glutes, hamstrings, shoulders. Instructions: Clean and press a kettlebell overhead with one arm. Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell. Lower yourself as far as possible. Pause for a second and reverse the motion back to the starting position.",
Alternate Hammer Curl,biceps,forearms,dumbbell,beginner,pull,strength,isolation,"Alternate Hammer Curl is a beginner level strength exercise targeting the biceps. It involves a pull motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: forearms. Instructions: Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso. The palms of the hands should be facing your torso. This will be your starting position. While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. Slowly begin to bring the dumbbells back to starting position as your breathe in. Repeat the movement with the left hand. This equals one repetition. Continue alternating in this manner for the recommended amount of repetitions.",
Alternate Incline Dumbbell Curl,biceps,forearms,dumbbell,beginner,pull,strength,isolation,"Alternate Incline Dumbbell Curl is a beginner level strength exercise targeting the biceps. It involves a pull motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: forearms. Instructions: Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position. While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. As you do so, rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. Slowly begin to bring the dumbbell back to starting position as your breathe in. Repeat the movement with the left hand. This equals one repetition. Continue alternating in this manner for the recommended amount of repetitions.",
Alternating Cable Shoulder Press,shoulders,triceps,cable,beginner,push,strength,compound,"Alternating Cable Shoulder Press is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: cable. Secondary muscles worked: triceps. Instructions: Move the cables to the bottom of the tower and select an appropriate weight. Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position. Keeping your head and chest up, extend through the elbow to press one side directly over head. After pausing at the top, return to the starting position and repeat on the opposite side.",
Alternating Floor Press,chest,"abdominals, shoulders, triceps",kettlebells,beginner,push,strength,compound,"Alternating Floor Press is a beginner level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: abdominals, shoulders, triceps. Instructions: Lie on the floor with two kettlebells next to your shoulders. Position one in place on your chest and then the other, gripping the kettlebells on the handle with the palms facing forward. Extend both arms, so that the kettlebells are being held above your chest. Lower one kettlebell, bringing it to your chest and turn the wrist in the direction of the locked out kettlebell. Raise the kettlebell and repeat on the opposite side.",
Alternating Hang Clean,hamstrings,"biceps, calves, forearms, glutes, lower back, traps",kettlebells,intermediate,pull,strength,compound,"Alternating Hang Clean is a intermediate level strength exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: biceps, calves, forearms, glutes, lower back, traps. Instructions: Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead. Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so. Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat.",
Alternating Kettlebell Press,shoulders,triceps,kettlebells,intermediate,push,strength,compound,"Alternating Kettlebell Press is a intermediate level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: triceps. Instructions: Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so. Press one directly overhead by extending through the elbow, turning it so the palm faces forward while holding the other kettlebell stationary . Lower the pressed kettlebell to the starting position and immediately press with your other arm.",
Alternating Kettlebell Row,middle back,"biceps, lats",kettlebells,intermediate,pull,strength,isolation,"Alternating Kettlebell Row is a intermediate level strength exercise targeting the middle back. It involves a pull motion and is considered a isolation movement. Equipment needed: kettlebells. Secondary muscles worked: biceps, lats. Instructions: Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles. Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage. Lower the kettlebell in the working arm and repeat with your other arm.",
Alternating Renegade Row,middle back,"abdominals, biceps, chest, lats, triceps",kettlebells,expert,pull,strength,compound,"Alternating Renegade Row is a expert level strength exercise targeting the middle back. It involves a pull motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: abdominals, biceps, chest, lats, triceps. Instructions: Place two kettlebells on the floor about shoulder width apart. Position yourself on your toes and your hands as though you were doing a pushup, with the body straight and extended. Use the handles of the kettlebells to support your upper body. You may need to position your feet wide for support. Push one kettlebell into the floor and row the other kettlebell, retracting the shoulder blade of the working side as you flex the elbow, pulling it to your side. Then lower the kettlebell to the floor and begin the kettlebell in the opposite hand. Repeat for several reps.",
