,exercise_name,category,primary_muscles,secondary_muscles,equipment,mechanic,force,level,source_url,source,text_chunk
0,180° jump turns,Plyometrics,Not Specified,Not Specified,Not Specified,Compound,Push,Not Specified,https://exrx.net/Plyometrics/180JumpTurns,exrx_scraper,Utility: Plyometric. Comments: Maintain athletic position during each land. Arms movement can assist in jumps.
1,3/4 sit-up,strength,abdominals,"obliques, lower back",bodyweight,isolation,pull,beginner,No URL provided,api,"3/4 sit-up is a beginner level strength exercise targeting the abdominals. It involves a pull motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: obliques, lower back. Instructions: "
2,360° jump turn,Plyometrics,Not Specified,Not Specified,Not Specified,Compound,Push,Not Specified,https://exrx.net/Plyometrics/360JumpTurn,exrx_scraper,"Utility: Plyometric. Comments: Alternative method is to squat down positioning bent right arm under shoulders while left arm is pulled back. Pull left arm forward and right arm back while jumping up. Tuck bent arms toward waist while turning clockwise 360° through air. Alternatively, 360° Jump Turns can be performed with successive jumps."
3,360° jump turns,Plyometrics,Not Specified,Not Specified,Not Specified,Compound,Push,Not Specified,https://exrx.net/Plyometrics/360JumpTurns,exrx_scraper,Utility: Plyometric. Comments: Alternative method is to squat down positioning bent right arm under shoulders while left arm is pulled back. Pull left arm forward and right arm back while jumping up. Tuck bent arms toward waist while turning clockwise 360° through air. Movement may also be performed by alternating directions each consecutive jump or single 360° Jump Turn allowing for recovery between jumps.
4,45° hyperextension (arms crossed),Waist,Not Specified,Not Specified,Not Specified,Compound,Pull,Not Specified,https://exrx.net/WeightExercises/ErectorSpinae/BW45HyperextensionArmsCrossed,exrx_scraper,"Utility: Basic or Auxiliary. Comments: Position pad high enough to evenly distribute body weight on thigh but not so high that range of motion is limited; abdomen should not press on top side of pad when upper body is lowered. Do not lower weight beyond mild stretch throughout hamstrings and low back. Full range of motion will vary from person to person.
Begin with arms in low position and gradually position arms in higher position to allow lower back adequate adaptation. See Arm Position During Waist Exercises. To make it easier: Movement can be made easier by placing hands lower on chest or positioning hands behind hips.
• 45° Hyperextension (hands behind hips). To make it harder: Exercise can be made more challenging by positioning hands higher on shoulders, behind neck, or to sides of head.
• 45° Hyperextension (hands behind neck)."
5,45° hyperextension (arms up),Waist,Not Specified,Not Specified,Not Specified,Compound,Pull,Not Specified,https://exrx.net/WeightExercises/ErectorSpinae/BW45HyperextensionArmsUp,exrx_scraper,"Utility: Basic or Auxiliary. Comments: Position pad high enough to evenly distribute body weight on thigh but not so high that range of motion is limited; abdomen should not press on top side of pad when upper body is lowered. Do not lower weight beyond mild stretch throughout hamstrings and low back. Full range of motion will vary from person to person.
Begin with arms in low position and gradually position arms in higher position to allow lower back adequate adaptation. See Arm Position During Waist Exercises. To make it easier: Movement can be made easier by placing hands lower on chest or positioning hands behind hips.
• 45° Hyperextension (hands behind neck). To make it harder: Exercise can be made more challenging by positioning hands higher on shoulders, behind neck, or to sides of head.
• Weighted 45° Hyperextension.

--- Additional Info ---

Utility: Basic or Auxiliary. Comments: Position pad high enough to evenly distribute body weight on thigh but not so high that range of motion is limited; abdomen should not press on top side of pad when upper body is lowered. Do not lower weight beyond mild stretch throughout hamstrings and low back. Full range of motion will vary from person to person.
Begin with arms in low position and gradually position arms in higher position to allow lower back adequate adaptation. See Arm Position During Waist Exercises. To make it easier: Movement can be made easier by placing hands lower on chest or positioning hands behind hips.
• 45° Hyperextension (hands behind neck). To make it harder: Exercise can be made more challenging by holding weight on chest or performing movement with single leg.
• Weighted 45° Hyperextension
• Single Leg 45° Hyperextension."
6,45° hyperextension (hands behind hips),Waist,Not Specified,Not Specified,Not Specified,Compound,Pull,Not Specified,https://exrx.net/WeightExercises/ErectorSpinae/BW45HyperextensionHips,exrx_scraper,"Utility: Basic or Auxiliary. Comments: Position pad high enough to evenly distribute body weight on thigh but not so high that range of motion is limited; abdomen should not press on top side of pad when upper body is lowered. Do not lower weight beyond mild stretch throughout hamstrings and low back. Full range of motion will vary from person to person.
Begin with arms in low position and gradually position arms in higher position to allow lower back adequate adaptation. See Arm Position During Waist Exercises. To make it easier: Movement will be least difficult when placing arms as low as possible on body. Lower intensity can be achieved by limiting movement to only spinal extension on exercise ball.
• Back Extension on Ball. To make it harder: Exercise can be made more challenging by positioning arms on chest.
• 45° Hyperextension (arms on chest).

--- Additional Info ---

Utility: Basic or Auxiliary. Comments: Position pad high enough to evenly distribute body weight on thigh but not so high that range of motion is limited; abdomen should not press on top side of pad when upper body is lowered. Do not lower weight beyond mild stretch throughout hamstrings and low back. Full range of motion will vary from person to person.
Begin with arms in low position and gradually position arms in higher position to allow lower back adequate adaptation. See Arm Position During Waist Exercises. To make it easier: Movement will be least difficult when placing arms as low as possible on body.. To make it harder: Exercise can be made more challenging by positioning arms on chest.
• 45° Hyperextension (arms on chest)."
7,45° hyperextension (hands behind neck),Waist,Not Specified,Not Specified,Not Specified,Compound,Pull,Not Specified,https://exrx.net/WeightExercises/ErectorSpinae/BW45HyperextensionNeck,exrx_scraper,"Utility: Basic or Auxiliary. Comments: Adjust lower leg brace so pressure is evenly distributed on thigh pad and full range of motion is permitted; abdomen should not press on side of pad when upper body is lowered. Do not lower weight beyond mild stretch throughout hamstrings and low back. Full range of motion will vary from person to person.
Begin with arms in low position and gradually position arms in higher position to allow lower back adequate adaptation. See Arm Position During Waist Exercises.
Certain individuals may need to keep their neck in neutral position with space between their chin and sternum. If hands are positioned behind head, neck extensors act as stabilizers:
• Splenius
• Erector Spinae
• Levator Scapulae To make it easier: Movement can be made easier by placing hands lower on chest or positioning hands behind hips.
• 45° Hyperextension (arms crossed). To make it harder: Exercise can be made more challenging by positioning hands behind, to sides, or above head.
• 45° Hyperextension (arms up)."
8,90/90 hamstring,stretching,hamstrings,calves,bodyweight,isolation,pull,beginner,No URL provided,api,90/90 hamstring is a beginner level stretching exercise targeting the hamstrings. It involves a pull motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: calves. Instructions: 
9,90° jump turns,Plyometrics,Not Specified,Not Specified,Not Specified,Compound,Push,Not Specified,https://exrx.net/Plyometrics/90JumpTurns,exrx_scraper,Utility: Plyometric. Comments: Jump facing from front to side as fast as possible. Maintain athletic position during each land. Arms movement can assist in jumps.
10,ab crunch machine,strength,abdominals,obliques,machine,isolation,pull,intermediate,No URL provided,api,ab crunch machine is a intermediate level strength exercise targeting the abdominals. It involves a pull motion and is considered a isolation movement. Equipment needed: machine. Secondary muscles worked: obliques. Instructions: 
11,ab roller,strength,abdominals,shoulders,other,compound,pull,intermediate,No URL provided,api,"Ab Roller is a intermediate level strength exercise targeting the abdominals. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: shoulders. Instructions: Hold the Ab Roller with both hands and kneel on the floor. Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position. Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement. After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times."
12,adductor,stretching,adductors,none,foam roll,isolation,static,intermediate,No URL provided,api,adductor is a intermediate level stretching exercise targeting the adductors. It involves a static motion and is considered a isolation movement. Equipment needed: foam roll. Secondary muscles worked: none. Instructions: 
13,adductor/groin,stretching,adductors,none,bodyweight,isolation,static,intermediate,No URL provided,api,adductor/groin is a intermediate level stretching exercise targeting the adductors. It involves a static motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: none. Instructions: 
14,advanced kettlebell windmill,strength,abdominals,"glutes, hamstrings, shoulders",kettlebells,isolation,push,intermediate,No URL provided,api,"Advanced Kettlebell Windmill is a intermediate level strength exercise targeting the abdominals. It involves a push motion and is considered a isolation movement. Equipment needed: kettlebells. Secondary muscles worked: glutes, hamstrings, shoulders. Instructions: Clean and press a kettlebell overhead with one arm. Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell. Lower yourself as far as possible. Pause for a second and reverse the motion back to the starting position."
15,air bike,strength,abdominals,obliques,bodyweight,compound,pull,beginner,No URL provided,api,air bike is a beginner level strength exercise targeting the abdominals. It involves a pull motion and is considered a compound movement. Equipment needed: bodyweight. Secondary muscles worked: obliques. Instructions: 
16,all fours quad stretch,stretching,quadriceps,hip flexors,bodyweight,isolation,static,intermediate,No URL provided,api,all fours quad stretch is a intermediate level stretching exercise targeting the quadriceps. It involves a static motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: hip flexors. Instructions: 
17,alternate bound (with double arm action),Plyometrics,Not Specified,Not Specified,Not Specified,Compound,Push,Not Specified,https://exrx.net/Plyometrics/AlternateBoundDoubleArm,exrx_scraper,"Utility: Plyometric. Comments: This drill is somewhat of exaggerated running drill. Bound forward into air as high as possible by emphasizing high knee lifts. Focus on pushing against ground from landing through takeoff attempting to maintain hang time. Each stride should have an aesthetic glide or float pattern appearing effortless yet demonstrate power during take off.
Attempt to either maintain speed or cover as much distance as possible by making each stride long. As heel makes contact with ground, it absorbs impact by eccentric contraction of muscle responsible for dorsi flexion of ankle slightly slowing speed at which remainder of foot hits ground."
18,alternate hammer curl,strength,biceps,forearms,dumbbell,isolation,pull,beginner,No URL provided,api,"Alternate Hammer Curl is a beginner level strength exercise targeting the biceps. It involves a pull motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: forearms. Instructions: Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso. The palms of the hands should be facing your torso. This will be your starting position. While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. Slowly begin to bring the dumbbells back to starting position as your breathe in. Repeat the movement with the left hand. This equals one repetition. Continue alternating in this manner for the recommended amount of repetitions."
19,alternate heel touchers,strength,abdominals,obliques,bodyweight,isolation,pull,beginner,No URL provided,api,alternate heel touchers is a beginner level strength exercise targeting the abdominals. It involves a pull motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: obliques. Instructions: 
20,alternate incline dumbbell curl,strength,biceps,forearms,dumbbell,isolation,pull,beginner,No URL provided,api,"Alternate Incline Dumbbell Curl is a beginner level strength exercise targeting the biceps. It involves a pull motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: forearms. Instructions: Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position. While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. As you do so, rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. Slowly begin to bring the dumbbell back to starting position as your breathe in. Repeat the movement with the left hand. This equals one repetition. Continue alternating in this manner for the recommended amount of repetitions."
21,alternate leg diagonal bound,plyometrics,quadriceps,"abductors, adductors, calves, glutes, hamstrings",bodyweight,compound,push,beginner,No URL provided,api,"alternate leg diagonal bound is a beginner level plyometrics exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: bodyweight. Secondary muscles worked: abductors, adductors, calves, glutes, hamstrings. Instructions: "
22,alternating bird dog,Waist,Not Specified,Not Specified,Not Specified,Isolated,Pull,Not Specified,https://exrx.net/WeightExercises/ErectorSpinae/BWAlternatingBirdDog,exrx_scraper,Utility: Auxiliary. Comments: Lift legs and arms deliberately with no jerking. Also see Bird Dog.
23,alternating cable shoulder press,strength,shoulders,triceps,cable,compound,push,beginner,No URL provided,api,"Alternating Cable Shoulder Press is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: cable. Secondary muscles worked: triceps. Instructions: Move the cables to the bottom of the tower and select an appropriate weight. Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position. Keeping your head and chest up, extend through the elbow to press one side directly over head. After pausing at the top, return to the starting position and repeat on the opposite side."
24,alternating deltoid raise,strength,shoulders,trapezius,dumbbell,isolation,push,beginner,No URL provided,api,alternating deltoid raise is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: trapezius. Instructions: 
25,alternating floor press,strength,chest,"abdominals, shoulders, triceps",kettlebells,compound,push,beginner,No URL provided,api,"Alternating Floor Press is a beginner level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: abdominals, shoulders, triceps. Instructions: Lie on the floor with two kettlebells next to your shoulders. Position one in place on your chest and then the other, gripping the kettlebells on the handle with the palms facing forward. Extend both arms, so that the kettlebells are being held above your chest. Lower one kettlebell, bringing it to your chest and turn the wrist in the direction of the locked out kettlebell. Raise the kettlebell and repeat on the opposite side."
26,alternating hang clean,strength,hamstrings,"biceps, calves, forearms, glutes, lower back, traps",kettlebells,compound,pull,intermediate,No URL provided,api,"Alternating Hang Clean is a intermediate level strength exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: biceps, calves, forearms, glutes, lower back, traps. Instructions: Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead. Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so. Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat."
27,alternating kettlebell press,strength,shoulders,triceps,kettlebells,compound,push,intermediate,No URL provided,api,"Alternating Kettlebell Press is a intermediate level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: triceps. Instructions: Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so. Press one directly overhead by extending through the elbow, turning it so the palm faces forward while holding the other kettlebell stationary . Lower the pressed kettlebell to the starting position and immediately press with your other arm."
28,alternating kettlebell row,strength,middle back,"biceps, lats",kettlebells,isolation,pull,intermediate,No URL provided,api,"Alternating Kettlebell Row is a intermediate level strength exercise targeting the middle back. It involves a pull motion and is considered a isolation movement. Equipment needed: kettlebells. Secondary muscles worked: biceps, lats. Instructions: Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles. Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage. Lower the kettlebell in the working arm and repeat with your other arm."
29,alternating renegade row,strength,middle back,"abdominals, biceps, chest, lats, triceps",kettlebells,compound,pull,expert,No URL provided,api,"Alternating Renegade Row is a expert level strength exercise targeting the middle back. It involves a pull motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: abdominals, biceps, chest, lats, triceps. Instructions: Place two kettlebells on the floor about shoulder width apart. Position yourself on your toes and your hands as though you were doing a pushup, with the body straight and extended. Use the handles of the kettlebells to support your upper body. You may need to position your feet wide for support. Push one kettlebell into the floor and row the other kettlebell, retracting the shoulder blade of the working side as you flex the elbow, pulling it to your side. Then lower the kettlebell to the floor and begin the kettlebell in the opposite hand. Repeat for several reps."
30,ankle circles,stretching,calves,none,bodyweight,isolation,pull,beginner,No URL provided,api,ankle circles is a beginner level stretching exercise targeting the calves. It involves a pull motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: none. Instructions: 
31,ankle on the knee,stretching,glutes,"lower back, core",bodyweight,isolation,static,beginner,No URL provided,api,"ankle on the knee is a beginner level stretching exercise targeting the glutes. It involves a static motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: lower back, core. Instructions: "
32,anterior tibialis-smr,stretching,tibialis anterior,peroneals,foam roller or rolling pin,isolation,static,intermediate,No URL provided,api,anterior tibialis-smr is a intermediate level stretching exercise targeting the tibialis anterior. It involves a static motion and is considered a isolation movement. Equipment needed: foam roller or rolling pin. Secondary muscles worked: peroneals. Instructions: 
33,anti-gravity press,strength,shoulders,"middle back, traps, triceps",barbell,compound,push,beginner,No URL provided,api,"Anti-Gravity Press is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: middle back, traps, triceps. Instructions: Place a bar on the ground behind the head of an incline bench. Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position. To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement. Return to the starting position and repeat to complete the set."
34,archer pull-up,Back,Not Specified,Not Specified,Not Specified,Compound,Pull,Not Specified,https://exrx.net/WeightExercises/LatissimusDorsi/BWArcherPullup,exrx_scraper,"Utility: Basic. Comments: The Archer Pull-up can also be performed without the archer hand positon. To make it easier: To decrease difficulty, perform Band-assisted Archer Pull-up.. To make it harder: More difficult exercises include Self-assisted One Arm Pull-ups. Alternatively, added weight can be placed on dip belt or dumbbell can be placed between ankles to increase intensity.."
